,location,total_sqft,bath,price,BHK
0,1st Block Jayanagar,2850,4.0,42800000,4
1,1st Block Jayanagar,1630,3.0,19400000,3
2,1st Block Jayanagar,1875,2.0,23500000,3
3,1st Block Jayanagar,1200,2.0,13000000,3
4,1st Block Jayanagar,1235,2.0,14800000,2
5,1st Block Jayanagar,2750,4.0,41300000,4
6,1st Block Jayanagar,2450,4.0,36800000,4
7,1st Block Koramangala,1415,2.0,11000000,2
8,1st Block Koramangala,860,2.0,6550000,2
9,1st Block Koramangala,3000,3.0,30000000,4
10,1st Block Koramangala,2350,3.0,21000000,3
11,1st Block Koramangala,3000,5.0,50000000,4
13,1st Phase JP Nagar,1875,3.0,16700000,3
14,1st Phase JP Nagar,1500,5.0,8500000,5
15,1st Phase JP Nagar,2065,4.0,21000000,3
17,1st Phase JP Nagar,2059,3.0,22500000,3
18,1st Phase JP Nagar,1394,2.0,10000000,2
19,1st Phase JP Nagar,1077,2.0,9300000,2
20,1st Phase JP Nagar,1566,2.0,18000000,2
21,1st Phase JP Nagar,840,2.0,5000000,1
22,1st Phase JP Nagar,1590,3.0,13100000,3
23,1st Phase JP Nagar,2180,3.0,21000000,3
24,1st Phase JP Nagar,1180,2.0,8850000,2
25,1st Phase JP Nagar,1200,2.0,8600000,2
26,1st Phase JP Nagar,1394,2.0,8500000,2
27,1st Phase JP Nagar,2077,3.0,17500000,3
29,1st Phase JP Nagar,1205,2.0,8500000,2
31,1st Phase JP Nagar,900,2.0,7500000,2
32,2nd Phase Judicial Layout,1450,2.0,5075000,3
33,2nd Phase Judicial Layout,1150,2.0,4025000,2
34,2nd Phase Judicial Layout,1350,2.0,4725000,3
35,2nd Phase Judicial Layout,1350,2.0,4725000,3
36,2nd Phase Judicial Layout,900,2.0,4100000,2
37,2nd Phase Judicial Layout,1681,3.0,6900000,3
38,2nd Phase Judicial Layout,1350,2.0,4725000,3
39,2nd Phase Judicial Layout,1150,2.0,4025000,2
40,2nd Stage Nagarbhavi,1500,4.0,22000000,4
41,2nd Stage Nagarbhavi,3000,8.0,45100000,6
42,2nd Stage Nagarbhavi,2400,8.0,45000000,6
43,2nd Stage Nagarbhavi,1350,4.0,20000000,4
44,2nd Stage Nagarbhavi,1200,4.0,22500000,4
45,2nd Stage Nagarbhavi,1500,3.0,23000000,4
46,5th Block Hbr Layout,1206,2.0,5600000,2
47,5th Block Hbr Layout,1270,2.0,7000000,3
48,5th Block Hbr Layout,1312,2.0,6900000,2
49,5th Block Hbr Layout,1100,2.0,4800000,2
50,5th Block Hbr Layout,3600,5.0,13000000,5
51,5th Block Hbr Layout,5100,5.0,30000000,6
52,5th Phase JP Nagar,1075,2.0,6000000,2
53,5th Phase JP Nagar,1150,3.0,5250000,2
54,5th Phase JP Nagar,1256,2.0,6280000,2
55,5th Phase JP Nagar,1207,2.0,6300000,2
56,5th Phase JP Nagar,1725,2.0,10000000,3
57,5th Phase JP Nagar,1440,2.0,6000000,2
58,5th Phase JP Nagar,1700,2.0,10000000,3
60,5th Phase JP Nagar,2500,5.0,11000000,5
61,5th Phase JP Nagar,600,1.0,3000000,1
62,5th Phase JP Nagar,1390,2.0,6500000,2
63,5th Phase JP Nagar,1256,2.0,6280000,2
64,5th Phase JP Nagar,1000,2.0,4800000,2
65,5th Phase JP Nagar,1350,2.0,7500000,3
66,5th Phase JP Nagar,552,1.0,2350000,1
67,5th Phase JP Nagar,1200,2.0,5100000,2
71,5th Phase JP Nagar,1030,2.0,5700000,2
72,5th Phase JP Nagar,1200,2.0,6800000,2
73,5th Phase JP Nagar,1190,2.0,6180000,2
74,5th Phase JP Nagar,4000,5.0,17000000,5
75,5th Phase JP Nagar,1080,2.0,5300000,2
76,5th Phase JP Nagar,1041,2.0,5400000,2
77,5th Phase JP Nagar,812,2.0,4200000,2
78,5th Phase JP Nagar,1010,2.0,5700000,2
80,5th Phase JP Nagar,1075,2.0,6000000,2
